Status,Fiber Distance(m),Rx Power(dBm),maintenance_required
active,1418,-23.5,0
active,2057,-21.9,0
active,2050,-22,0
active,2301,-28.2,1
active,1910,-21.5,0
active,1931,-21.2,0
active,741,-17.2,0
active,365,-23.9,0
active,651,-19.9,0
active,591,-22.2,0
active,985,-23,0
active,642,-18.2,0
active,414,-18.8,0
active,645,-18.3,0
active,692,-20,0
active,670,-22.5,0
active,512,-23.7,0
active,951,-20.9,0
active,643,-22.1,0
active,872,-17.7,0
active,852,-23.6,0
active,986,-23.3,0
active,405,-16.6,0
active,287,-26.7,0
active,681,-21.1,0
active,1032,-17,0
active,1083,-16.3,0
active,320,-19.1,0
active,555,-25.6,0
active,656,-22.9,0
active,1459,-18.7,0
active,608,-19.7,0
active,1153,-23.6,0
active,438,-17.2,0
active,725,-19.5,0
active,1103,-29.2,1
active,349,-19.1,0
active,950,-18.5,0
active,1007,-22.2,0
active,1265,-22.9,0
active,601,-25.5,0
active,421,-20.5,0
active,378,-17.2,0
active,529,-19.9,0
active,1139,-19.6,0
active,1407,-18.5,0
active,1281,-22.1,0
active,1342,-19.9,0
active,1301,-19.6,0
active,712,-26.7,0
active,1363,-19.2,0
active,1429,-20.5,0
active,612,-19.9,0
active,3482,-18.6,0
active,3527,-19.5,0
active,3468,-22.4,0
active,1724,-23.5,0
active,2007,-24.5,0
active,1342,-18.2,0
active,1827,-23.8,0
active,1899,-17.8,0
active,1418,-22.3,0
active,1560,-18.4,0
active,1810,-20.1,0
active,2008,-24.6,0
active,1651,-17.7,0
active,2048,-23.6,0
active,1530,-19.7,0
active,1545,-17.3,0
active,1723,-20,0
active,1997,-19.7,0
active,1449,-20.1,0
active,1627,-21.6,0
active,1953,-20.6,0
active,1874,-17.9,0
active,1781,-24.3,0
active,1216,-19.1,0
active,1938,-22.2,0
active,1321,-21.8,0
active,1867,-25.2,0
active,1699,-20.8,0
active,1653,-20.6,0
active,1733,-19.9,0
active,1661,-18.9,0
active,1838,-21.3,0
active,1691,-27.2,0
active,1724,-23.5,0
active,1726,-21,0
active,1818,-20.5,0
active,1168,-19.8,0
active,1222,-22.9,0
active,1905,-19.9,0
active,1809,-22.5,0
active,1858,-25.3,0
active,1688,-22.6,0
active,1627,-19.2,0
active,1750,-22,0
active,1742,-23,0
active,1552,-22.2,0
active,1227,-19.8,0
active,2468,-27.4,1
active,2397,-25.2,0
active,2096,-22,0
active,1895,-19.9,0
active,2407,-27.6,1
active,2300,-19.5,0
active,2496,-33,1
active,1579,-19.9,0
active,2422,-21.9,0
active,1823,-18,0
active,1885,-17.8,0
active,1807,-18.2,0
active,2067,-31.5,1
active,1823,-25.6,0
active,2140,-27.9,1
active,1927,-26,0
active,2148,-20.7,0
active,2066,-18,0
active,603,-21.5,0
active,850,-21.2,0
active,846,-21.6,0
active,524,-20.8,0
active,1691,-26.7,0
active,1448,-28.5,1
active,1002,-22.1,0
active,1205,-24.6,0
active,1356,-23.4,0
active,869,-19,0
active,1246,-26.5,0
active,1408,-26.3,0
active,1273,-27.6,1
active,1021,-20.2,0
active,1030,-19.3,0
active,913,-21.4,0
active,1247,-23.9,0
active,1015,-20.4,0
active,994,-17.7,0
active,1292,-25,0
active,1157,-28.5,1
active,938,-18.7,0
active,1013,-24.2,0
active,866,-18,0
active,1187,-17.4,0
active,1180,-18.1,0
active,737,-20.9,0
active,661,-17.2,0
active,867,-17.1,0
active,597,-20.4,0
active,1426,-31.5,1
active,559,-23,0
active,898,-24.8,0
active,616,-19.8,0
active,714,-19.3,0
active,694,-17.9,0
active,1497,-20.5,0
active,972,-17.8,0
active,1055,-17.8,0
active,1084,-27.4,1
active,1452,-23,0
active,1107,-17.5,0
active,1105,-23.4,0
active,1067,-19.2,0
active,858,-21.7,0
active,628,-27.6,1
active,991,-22.6,0
active,1162,-18.6,0
active,581,-21.1,0
active,1368,-25.6,0
active,728,-21,0
active,1113,-24.9,0
active,1284,-22.2,0
active,1318,-20.4,0
active,1388,-23.5,0
active,603,-23.1,0
active,709,-18,0
active,1385,-18.5,0
active,1178,-21.1,0
active,1468,-21.7,0
active,873,-22.7,0
active,990,-22.5,0
active,1006,-22.9,0
active,702,-19.1,0
active,880,-20.2,0
active,896,-25.8,0
active,692,-20.7,0
active,794,-17.4,0
active,1198,-20.7,0
active,1219,-26.5,0
active,1187,-22.2,0
active,853,-23.8,0
active,796,-21.4,0
active,669,-19.2,0
active,685,-18.9,0
active,798,-21,0
active,580,-26.5,0
active,1170,-0.3,0
active,1241,-22.8,0
active,990,-17.4,0
active,852,-19.2,0
active,1798,-21.4,0
active,1708,-18.6,0
active,1778,-25.2,0
active,1902,-20.9,0
active,1713,-21.5,0
active,1852,-26.3,0
active,1725,-23.2,0
active,1313,-23.3,0
active,1129,-22.2,0
active,1880,-20.8,0
active,1118,-18.2,0
active,1124,-19.5,0
active,1119,-19.6,0
active,1393,-24,0
active,1216,-20.6,0
active,1642,-32.2,1
active,1519,-26.5,0
active,1498,-28.2,1
active,987,-24.2,0
active,1253,-23.1,0
active,1372,-23.6,0
active,1475,-25,0
active,1002,-23.1,0
active,1358,-25,0
active,1392,-22.2,0
active,1615,-23.6,0
active,1100,-23.9,0
active,1466,-22.6,0
active,1423,-24.8,0
active,1297,-25.6,0
active,1195,-24,0
active,1466,-24.3,0
active,2277,-21.3,0
active,2276,-21.8,0
active,2255,-20,0
active,2281,-20.2,0
active,2060,-26.9,0
active,1653,-24.4,0
active,1218,-18.4,0
active,1838,-19.5,0
active,1650,-25.5,0
active,1531,-19,0
active,1736,-20.2,0
active,2083,-19.8,0
active,1350,-27.2,0
active,1600,-21.1,0
active,1023,-19.8,0
active,1288,-18.2,0
active,1884,-19.5,0
active,1821,-20.7,0
active,1273,-19.1,0
active,1324,-21.3,0
active,1438,-18,0
active,1127,-25.8,0
active,1343,-19,0
active,1404,-22.7,0
active,1394,-18.4,0
active,1659,-24.4,0
active,1331,-20.5,0
active,1289,-20,0
active,1450,-20.4,0
active,1059,-19.7,0
active,850,-18.3,0
active,564,-18.4,0
active,1399,-19.7,0
active,1099,-17.1,0
active,793,-19,0
active,567,-19.6,0
active,541,-19.7,0
active,1445,-26.7,0
active,1197,-19.3,0
active,1167,-20.4,0
active,1057,-16.7,0
active,559,-18.9,0
active,1831,-18.7,0
active,682,-19.9,0
active,1277,-20.5,0
active,1311,-18.5,0
active,1726,-21.4,0
active,1626,-18.6,0
active,867,-17.3,0
active,1761,-20.3,0
active,1293,-22.1,0
active,1823,-20.7,0
active,1762,-23.9,0
active,668,-25.2,0
active,697,-19.9,0
active,616,-19,0
active,658,-24.3,0
active,1680,-33,1
active,759,-19.4,0
active,813,-17.6,0
active,1470,-19.2,0
active,1533,-19.4,0
active,721,-24.6,0
active,1328,-21.7,0
active,1135,-23.5,0
active,1393,-25.5,0
active,1126,-20,0
active,1048,-21.3,0
active,1071,-19.9,0
active,1117,-20.5,0
active,1540,-21.3,0
active,1568,-20.2,0
active,1749,-20.5,0
active,1578,-20.7,0
active,569,-25.6,0
active,1988,-21.7,0
active,1312,-23,0
active,1351,-17.9,0
active,684,-29.2,1
active,1696,-23.8,0
active,756,-22.6,0
active,647,-18.7,0
active,1367,-19.3,0
active,597,-28.2,1
active,1345,-23.2,0
active,1508,-23.1,0
active,608,-22.5,0
active,1505,-25.2,0
active,594,-24.6,0
active,1306,-18.9,0
active,1281,-22.4,0
active,1148,-30.4,1
active,724,-23.6,0
active,1180,-26.9,0
active,1126,-18.7,0
active,1502,-26.7,0
active,1122,-21,0
active,1520,-17.5,0
active,1681,-20.1,0
active,1477,-18.6,0
active,1568,-25.6,0
active,1553,-26.7,0
active,1279,-18.2,0
active,887,-21.3,0
active,924,-23.2,0
active,1084,-16.6,0
active,2066,-18.2,0
active,1899,-22.5,0
active,2008,-25.2,0
active,2079,-21.2,0
active,2085,-19.7,0
active,2478,-28.2,1
active,2322,-25.5,0
active,2252,-26.1,0
active,2324,-28.5,1
active,2417,-26.7,0
active,2398,-31.5,1
active,2538,-25.8,0
active,2078,-23.9,0
active,2268,-24.5,0
active,2510,-22.5,0
active,2040,-24.9,0
active,2343,-23.5,0
active,2337,-28.5,1
active,2545,-26.1,0
active,2560,-23.9,0
active,2130,-24.4,0
active,2548,-26.5,0
active,2300,-23.8,0
active,1876,-22.2,0
active,1894,-21,0
active,2013,-19.5,0
active,2171,-24,0
active,1656,-20.6,0
active,2212,-19.4,0
active,1970,-22.9,0
active,1622,-23,0
active,2329,-20.5,0
active,2153,-31.5,1
active,2168,-28.2,1
active,2242,-20,0
active,2287,-27.2,0
active,1975,-22.5,0
active,1984,-26.1,0
active,1739,-26,0
active,1743,-22.2,0
active,1905,-26.1,0
active,1323,-22.4,0
active,1852,-23.5,0
active,1682,-27.9,1
active,1810,-22.9,0
active,1859,-24.4,0
active,1858,-23.6,0
active,1802,-22.5,0
active,1718,-24.4,0
active,1577,-21.9,0
active,1711,-28.8,1
active,1741,-26.1,0
active,1575,-22.1,0
active,1695,-33,1
active,1456,-24.6,0
active,1219,-24.3,0
active,1335,-23.5,0
active,1813,-26.9,0
active,1671,-23.3,0
active,1521,-23.1,0
active,1714,-26.1,0
active,1527,-22.5,0
active,1811,-25.8,0
active,1605,-22,0
active,2120,-29.9,1
active,1794,-25,0
active,2155,-27.6,1
active,2456,-21.1,0
active,2072,-20.4,0
active,1557,-19.2,0
active,1547,-18.1,0
active,2092,-22.5,0
active,2144,-23.3,0
active,2132,-20.4,0
active,1772,-23.9,0
active,2504,-18.6,0
active,2334,-23,0
active,2393,-18.6,0
active,2068,-21.3,0
active,1077,-20.8,0
active,1740,-24.3,0
active,2351,-23,0
active,2594,-19.2,0
active,2501,-18.7,0
active,2250,-24.6,0
active,2498,-40,1
active,1083,-20.6,0
active,2062,-24.5,0
active,1204,-18.5,0
active,2106,-24.6,0
active,2512,-20.9,0
active,1182,-20.6,0
active,2065,-20.8,0
active,2492,-23.7,0
active,1035,-21.6,0
active,1020,-17,0
active,1858,-17.2,0
active,1046,-18,0
active,1088,-22.9,0
active,1655,-19.9,0
active,998,-20.8,0
active,1583,-25.2,0
active,1555,-18.5,0
active,1435,-20.5,0
active,932,-27.6,1
active,1541,-20.2,0
active,1063,-21.7,0
active,1625,-20.3,0
active,1034,-17.7,0
active,1460,-23.6,0
active,2073,-23.9,0
active,2145,-17.6,0
active,1691,-18.9,0
active,675,-23.1,0
active,1377,-21.7,0
active,2098,-18.9,0
active,666,-22.8,0
active,1699,-21.8,0
active,1802,-22.1,0
active,706,-22.2,0
active,1794,-22.5,0
active,1770,-31.5,1
active,1746,-21.6,0
active,2151,-23.6,0
active,1683,-17.7,0
active,650,-22.3,0
active,1644,-22,0
active,2060,-23,0
active,1720,-28.5,1
active,1651,-18.7,0
active,2146,-20.3,0
active,1459,-16.6,0
active,1741,-21.4,0
active,728,-27.2,0
active,1689,-21.1,0
active,648,-17.8,0
active,1576,-21.2,0
active,1672,-23.2,0
active,1585,-22,0
active,1538,-19.9,0
active,1449,-21.9,0
active,1462,-24.5,0
active,1490,-23.7,0
active,805,-17.3,0
active,963,-19.9,0
active,1014,-22,0
active,1059,-17.3,0
active,1037,-25.2,0
active,1047,-20.2,0
active,950,-23.8,0
active,1053,-19.8,0
active,774,-26.7,0
active,751,-28.8,1
active,637,-26.9,0
active,930,-29.5,1
active,1077,-17.2,0
active,1028,-21.6,0
active,1060,-21.6,0
active,720,-21,0
active,1053,-16.7,0
active,1164,-20.6,0
active,950,-20.7,0
active,856,-22.9,0
active,1066,-17.8,0
active,1297,-20.6,0
active,1369,-18.8,0
active,730,-24.6,0
active,1192,-18.7,0
active,1401,-19.9,0
active,1249,-19.9,0
active,1287,-18.7,0
active,1286,-18.8,0
active,1269,-19,0
active,903,-25.5,0
active,1228,-17.8,0
active,946,-18.7,0
active,717,-25.3,0
active,572,-24.9,0
active,602,-19.5,0
active,1224,-17.8,0
active,2228,-27.2,0
active,2211,-19.9,0
active,1907,-19.2,0
active,1999,-20.8,0
active,2448,-20,0
active,2443,-20.9,0
active,1934,-22.5,0
active,2246,-23.8,0
active,1885,-23.3,0
active,2305,-27.9,1
active,2302,-24.4,0
active,2381,-19.3,0
active,2243,-23,0
active,2296,-19.2,0
active,1923,-22,0
active,2403,-29.9,1
active,2454,-19.4,0
active,2343,-26,0
active,2249,-18.5,0
active,2216,-22.3,0
active,1914,-18.3,0
active,2518,-26.1,0
active,2581,-17.8,0
active,2030,-21.7,0
active,3291,-25.3,0
active,1900,-22,0
active,1987,-18.6,0
active,1954,-22.5,0
active,2377,-22.3,0
active,1829,-23.9,0
active,3140,-24,0
active,3341,-23.7,0
active,1955,-21.4,0
active,2370,-22.3,0
active,1968,-21.2,0
active,1895,-21.2,0
active,1911,-20.4,0
active,1802,-19.7,0
active,2173,-23.5,0
active,2262,-20.1,0
active,2386,-29.2,1
active,1937,-23.5,0
active,2275,-20.1,0
active,1829,-24.8,0
active,2593,-23.8,0
active,1195,-22.2,0
active,1324,-17.9,0
active,1222,-25.5,0
active,1332,-19.5,0
active,489,-23.2,0
active,1299,-33,1
active,490,-18.1,0
active,692,-24.8,0
active,1231,-19.9,0
active,1042,-21.4,0
active,1048,-22.4,0
active,1291,-21.6,0
active,1166,-20.3,0
active,1106,-17.3,0
active,2392,-28.8,1
active,2175,-25.6,0
active,2301,-23,0
active,2388,-33,1
active,2454,-26.9,0
active,2428,-22.3,0
active,2418,-22.2,0
active,1407,-21.3,0
active,1306,-18.2,0
active,1247,-21.8,0
active,1246,-20.7,0
active,2113,-26.1,0
active,2156,-24.4,0
active,1680,-17.8,0
active,2113,-23.8,0
active,2078,-25.8,0
active,1992,-28.5,1
active,1534,-19.2,0
active,2037,-29.2,1
active,2159,-23.5,0
active,2207,-24.8,0
active,1622,-19.1,0
active,1371,-25.3,0
active,2086,-23.8,0
active,1522,-21.9,0
active,1527,-27.6,1
active,1455,-16.8,0
active,2013,-23,0
active,767,-26.7,0
active,761,-23.4,0
active,749,-21.7,0
active,2168,-19.9,0
